Class Name,Inherited Attributes,Unused Attributes,Used Attributes Percentage,Inherited Methods,Unused Methods,Used Methods Percentage
proguard.classfile.editor.AnnotationsAttributeEditor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.editor.AttributeAdder, 0.0, 0.0, NaN, 142.0, 142.0, 0.0, 
proguard.classfile.editor.AttributeSorter, 0.0, 0.0, NaN, 142.0, 142.0, 0.0, 
proguard.classfile.editor.AttributesEditor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.editor.BootstrapMethodInfoAdder, 0.0, 0.0, NaN, 1.0, 0.0, 100.0, 
proguard.classfile.editor.BootstrapMethodRemapper, 0.0, 0.0, NaN, 142.0, 142.0, 0.0, 
proguard.classfile.editor.BootstrapMethodsAttributeAdder, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
proguard.classfile.editor.BootstrapMethodsAttributeEditor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.editor.BootstrapMethodsAttributeShrinker, 0.0, 0.0, NaN, 143.0, 143.0, 0.0, 
proguard.classfile.editor.BridgeMethodFixer, 0.0, 0.0, NaN, 142.0, 142.0, 0.0, 
proguard.classfile.editor.ClassEditor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.editor.ClassElementSorter, 0.0, 0.0, NaN, 142.0, 142.0, 0.0, 
proguard.classfile.editor.ClassMemberSorter, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
proguard.classfile.editor.ClassReferenceFixer, 0.0, 0.0, NaN, 145.0, 145.0, 0.0, 
proguard.classfile.editor.CodeAttributeComposer, 0.0, 0.0, NaN, 146.0, 142.0, 2.7397260273972535, 
proguard.classfile.editor.CodeAttributeEditor, 0.0, 0.0, NaN, 147.0, 145.0, 1.3605442176870781, 
proguard.classfile.editor.CodeAttributeEditorResetter, 0.0, 0.0, NaN, 142.0, 142.0, 0.0, 
proguard.classfile.editor.CompactCodeAttributeComposer, 0.0, 0.0, NaN, 142.0, 142.0, 0.0, 
proguard.classfile.editor.ComparableConstant, 0.0, 0.0, NaN, 142.0, 142.0, 0.0, 
proguard.classfile.editor.ConstantAdder, 0.0, 0.0, NaN, 17.0, 16.0, 5.882352941176464, 
proguard.classfile.editor.ConstantPoolEditor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.editor.ConstantPoolRemapper, 0.0, 0.0, NaN, 152.0, 151.0, 0.6578947368421098, 
proguard.classfile.editor.ConstantPoolShrinker, 0.0, 0.0, NaN, 152.0, 152.0, 0.0, 
proguard.classfile.editor.ConstantPoolSorter, 0.0, 0.0, NaN, 142.0, 142.0, 0.0, 
