Class Name,Inherited Attributes,Unused Attributes,Used Attributes Percentage,Inherited Methods,Unused Methods,Used Methods Percentage
proguard.classfile.attribute.annotation.visitor.TypeAnnotationVisitor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.attribute.annotation.visitor.TypePathInfoVisitor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.attribute.preverification.DoubleType, 10.0, 10.0, 0.0, 8.0, 8.0, 0.0, 
proguard.classfile.attribute.preverification.FloatType, 10.0, 10.0, 0.0, 8.0, 8.0, 0.0, 
proguard.classfile.attribute.preverification.FullFrame, 9.0, 9.0, 0.0, 8.0, 7.0, 12.5, 
proguard.classfile.attribute.preverification.IntegerType, 10.0, 10.0, 0.0, 8.0, 8.0, 0.0, 
proguard.classfile.attribute.preverification.LessZeroFrame, 9.0, 9.0, 0.0, 8.0, 8.0, 0.0, 
proguard.classfile.attribute.preverification.LongType, 10.0, 10.0, 0.0, 8.0, 8.0, 0.0, 
proguard.classfile.attribute.preverification.MoreZeroFrame, 9.0, 9.0, 0.0, 8.0, 8.0, 0.0, 
proguard.classfile.attribute.preverification.NullType, 10.0, 10.0, 0.0, 8.0, 8.0, 0.0, 
proguard.classfile.attribute.preverification.ObjectType, 10.0, 10.0, 0.0, 8.0, 8.0, 0.0, 
proguard.classfile.attribute.preverification.SameOneFrame, 9.0, 9.0, 0.0, 8.0, 7.0, 12.5, 
proguard.classfile.attribute.preverification.SameZeroFrame, 9.0, 9.0, 0.0, 8.0, 7.0, 12.5, 
proguard.classfile.attribute.preverification.StackMapAttribute, 2.0, 2.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.attribute.preverification.StackMapFrame, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
proguard.classfile.attribute.preverification.StackMapTableAttribute, 2.0, 2.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.attribute.preverification.TopType, 10.0, 10.0, 0.0, 8.0, 8.0, 0.0, 
proguard.classfile.attribute.preverification.UninitializedThisType, 10.0, 10.0, 0.0, 8.0, 8.0, 0.0, 
proguard.classfile.attribute.preverification.UninitializedType, 10.0, 10.0, 0.0, 8.0, 8.0, 0.0, 
proguard.classfile.attribute.preverification.VerificationType, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
proguard.classfile.attribute.preverification.VerificationTypeFactory, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.attribute.preverification.visitor.StackMapFrameVisitor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.attribute.preverification.visitor.VerificationTypeVisitor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.attribute.visitor.AllAttributeVisitor, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.classfile.attribute.visitor.AllBootstrapMethodInfoVisitor, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.classfile.attribute.visitor.AllExceptionInfoVisitor, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.classfile.attribute.visitor.AllInnerClassesInfoVisitor, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.classfile.attribute.visitor.AllLineNumberInfoVisitor, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.classfile.attribute.visitor.AttributeNameFilter, 0.0, 0.0, NaN, 25.0, 25.0, 0.0, 
proguard.classfile.attribute.visitor.AttributeVisitor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.attribute.visitor.BootstrapMethodInfoVisitor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.attribute.visitor.ExceptionInfoVisitor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.attribute.visitor.InnerClassesInfoVisitor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.attribute.visitor.LineNumberInfoVisitor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.attribute.visitor.LineNumberRangeFinder, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
proguard.classfile.attribute.visitor.LocalVariableInfoVisitor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.attribute.visitor.LocalVariableTypeInfoVisitor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.attribute.visitor.MultiAttributeVisitor, 0.0, 0.0, NaN, 25.0, 25.0, 0.0, 
proguard.classfile.attribute.visitor.NonEmptyAttributeFilter, 0.0, 0.0, NaN, 25.0, 25.0, 0.0, 
proguard.classfile.attribute.visitor.ParameterInfoVisitor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.attribute.visitor.RequiredAttributeFilter, 0.0, 0.0, NaN, 25.0, 25.0, 0.0, 
proguard.classfile.attribute.visitor.StackSizeComputer, 0.0, 0.0, NaN, 119.0, 118.0, 0.8403361344537785, 
proguard.classfile.constant.ClassConstant, 1.0, 1.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.constant.Constant, 0.0, 0.0, NaN, 2.0, 1.0, 50.0, 
proguard.classfile.constant.DoubleConstant, 1.0, 1.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.constant.FieldrefConstant, 5.0, 5.0, 0.0, 12.0, 9.0, 25.0, 
proguard.classfile.constant.FloatConstant, 1.0, 1.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.constant.IntegerConstant, 1.0, 1.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.constant.InterfaceMethodrefConstant, 5.0, 5.0, 0.0, 12.0, 10.0, 16.66666666666667, 
proguard.classfile.constant.InvokeDynamicConstant, 1.0, 1.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.constant.LongConstant, 1.0, 1.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.constant.MethodHandleConstant, 1.0, 1.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.constant.MethodTypeConstant, 1.0, 1.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.constant.MethodrefConstant, 5.0, 5.0, 0.0, 12.0, 9.0, 25.0, 
proguard.classfile.constant.NameAndTypeConstant, 1.0, 1.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.constant.RefConstant, 1.0, 1.0, 0.0, 4.0, 3.0, 25.0, 
proguard.classfile.constant.StringConstant, 1.0, 1.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.constant.Utf8Constant, 1.0, 1.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.constant.visitor.AllConstantVisitor, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
proguard.classfile.constant.visitor.BootstrapMethodArgumentVisitor, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
proguard.classfile.constant.visitor.BootstrapMethodHandleTraveler, 0.0, 0.0, NaN, 119.0, 119.0, 0.0, 
proguard.classfile.constant.visitor.ConstantTagFilter, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.classfile.constant.visitor.ConstantVisitor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.constant.visitor.ExceptClassConstantFilter, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.classfile.constant.visitor.MethodrefTraveler, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.classfile.constant.visitor.SuperClassConstantVisitor, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
proguard.classfile.editor.AccessFixer, 1.0, 1.0, 0.0, 120.0, 120.0, 0.0, 
proguard.classfile.editor.AnnotationAdder, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.classfile.editor.AnnotationsAttributeEditor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.editor.AttributeAdder, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.classfile.editor.AttributeSorter, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.classfile.editor.AttributesEditor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.editor.BootstrapMethodInfoAdder, 0.0, 0.0, NaN, 1.0, 0.0, 100.0, 
proguard.classfile.editor.BootstrapMethodRemapper, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.classfile.editor.BootstrapMethodsAttributeAdder, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
proguard.classfile.editor.BootstrapMethodsAttributeEditor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.editor.BridgeMethodFixer, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.classfile.editor.ClassEditor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.editor.ClassElementSorter, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.classfile.editor.ClassMemberSorter, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
proguard.classfile.editor.ClassReferenceFixer, 0.0, 0.0, NaN, 121.0, 121.0, 0.0, 
proguard.classfile.editor.CodeAttributeComposer, 0.0, 0.0, NaN, 122.0, 118.0, 3.278688524590166, 
proguard.classfile.editor.CodeAttributeEditor, 0.0, 0.0, NaN, 123.0, 121.0, 1.6260162601626007, 
proguard.classfile.editor.CodeAttributeEditorResetter, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.classfile.editor.ComparableConstant, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.classfile.editor.ConstantAdder, 0.0, 0.0, NaN, 14.0, 13.0, 7.142857142857139, 
proguard.classfile.editor.ConstantPoolEditor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.editor.ConstantPoolRemapper, 0.0, 0.0, NaN, 124.0, 123.0, 0.8064516129032313, 
proguard.classfile.editor.ConstantPoolShrinker, 0.0, 0.0, NaN, 124.0, 124.0, 0.0, 
proguard.classfile.editor.ConstantPoolSorter, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.classfile.editor.ElementValueAdder, 0.0, 0.0, NaN, 5.0, 5.0, 0.0, 
proguard.classfile.editor.ElementValuesEditor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.editor.ExceptionAdder, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.classfile.editor.ExceptionInfoAdder, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
proguard.classfile.editor.ExceptionsAttributeEditor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.editor.InnerClassesAccessFixer, 0.0, 0.0, NaN, 119.0, 119.0, 0.0, 
proguard.classfile.editor.InstructionAdder, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.classfile.editor.InstructionWriter, 0.0, 0.0, NaN, 118.0, 111.0, 5.932203389830505, 
proguard.classfile.editor.InterfaceAdder, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.classfile.editor.InterfaceDeleter, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.classfile.editor.InterfaceSorter, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.classfile.editor.InterfacesEditor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.editor.LineNumberInfoAdder, 0.0, 0.0, NaN, 119.0, 119.0, 0.0, 
proguard.classfile.editor.LineNumberTableAttributeEditor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.editor.LineNumberTableAttributeTrimmer, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.classfile.editor.LocalVariableInfoAdder, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
proguard.classfile.editor.LocalVariableTableAttributeEditor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.editor.LocalVariableTypeInfoAdder, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
proguard.classfile.editor.LocalVariableTypeTableAttributeEditor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.editor.MemberAdder, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.classfile.editor.MemberReferenceFixer, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.classfile.editor.MethodInvocationFixer, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.classfile.editor.NameAndTypeShrinker, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.classfile.editor.NamedAttributeDeleter, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.classfile.editor.ParameterAnnotationsAttributeEditor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.editor.ParameterInfoAdder, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
proguard.classfile.editor.StackSizeUpdater, 0.0, 0.0, NaN, 118.0, 117.0, 0.8474576271186436, 
proguard.classfile.editor.SubclassAdder, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
proguard.classfile.editor.SubclassToAdder, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
