Class Name,Inherited Attributes,Unused Attributes,Used Attributes Percentage,Inherited Methods,Unused Methods,Used Methods Percentage
soc.message.SOCRejectConnection, 97.0, 97.0, 0.0, 11.0, 10.0, 9.090909090909093, 
soc.message.SOCRejectOffer, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCResetBoardAuth, 100.0, 100.0, 0.0, 14.0, 13.0, 7.142857142857139, 
soc.message.SOCResetBoardReject, 98.0, 98.0, 0.0, 12.0, 11.0, 8.333333333333329, 
soc.message.SOCResetBoardRequest, 98.0, 98.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCResetBoardVote, 100.0, 100.0, 0.0, 14.0, 12.0, 14.285714285714292, 
soc.message.SOCResetBoardVoteRequest, 99.0, 99.0, 0.0, 13.0, 11.0, 15.384615384615387, 
soc.message.SOCResourceCount, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCRobotDismiss, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCRollDice, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCRollDicePrompt, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCRollDiceRequest, 97.0, 97.0, 0.0, 12.0, 11.0, 8.333333333333329, 
soc.message.SOCServerPing, 97.0, 97.0, 0.0, 11.0, 10.0, 9.090909090909093, 
soc.message.SOCSetPlayedDevCard, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCSetSeatLock, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCSetTurn, 99.0, 99.0, 0.0, 13.0, 11.0, 15.384615384615387, 
soc.message.SOCSetupDone, 97.0, 97.0, 0.0, 12.0, 11.0, 8.333333333333329, 
soc.message.SOCSimpleAction, 103.0, 103.0, 0.0, 16.0, 14.0, 12.5, 
soc.message.SOCSimpleRequest, 103.0, 103.0, 0.0, 16.0, 14.0, 12.5, 
soc.message.SOCSitDown, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCStartGame, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCStatusMessage, 97.0, 97.0, 0.0, 11.0, 10.0, 9.090909090909093, 
soc.message.SOCTextMsg, 97.0, 97.0, 0.0, 11.0, 10.0, 9.090909090909093, 
soc.message.SOCTimingPing, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCTurn, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCUpdateRobotParams, 97.0, 97.0, 0.0, 11.0, 10.0, 9.090909090909093, 
soc.message.SOCVersion, 97.0, 97.0, 0.0, 11.0, 10.0, 9.090909090909093, 
soc.robot.BoardNodeScorePair, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.robot.DiscardStrategy, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.robot.MonopolyStrategy, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.robot.OpeningBuildStrategy, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.robot.RobberStrategy, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.robot.SOCBuildPossibility, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.robot.SOCBuildingSpeedEstimate, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.robot.SOCNumberProbabilities, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.robot.SOCPlayerAction, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.robot.SOCPlayerTracker, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.robot.SOCPossibleCard, 16.0, 16.0, 0.0, 23.0, 21.0, 8.695652173913047, 
soc.robot.SOCPossibleCity, 16.0, 15.0, 6.25, 23.0, 19.0, 17.391304347826093, 
soc.robot.SOCPossiblePiece, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.robot.SOCPossibleRoad, 16.0, 16.0, 0.0, 23.0, 11.0, 52.17391304347826, 
soc.robot.SOCPossibleSettlement, 16.0, 16.0, 0.0, 23.0, 13.0, 43.47826086956522, 
soc.robot.SOCResSetBuildTimePair, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.robot.SOCResSetBuildTypePair, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.robot.SOCRobotBrain, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.robot.SOCRobotClient, 23.0, 14.0, 39.130434782608695, 88.0, 32.0, 63.63636363636363, 
soc.robot.SOCRobotDM, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.robot.SOCRobotNegotiator, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
