Class Name,Inherited Attributes,Unused Attributes,Used Attributes Percentage,Inherited Methods,Unused Methods,Used Methods Percentage
com.alibaba.dubbo.common.serialize.ObjectInput, 0.0, 0.0, NaN, 9.0, 0.0, 100.0, 
com.alibaba.dubbo.common.serialize.ObjectOutput, 0.0, 0.0, NaN, 10.0, 0.0, 100.0, 
com.alibaba.dubbo.common.serialize.Serialization, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.serialize.fastjson.FastJsonObjectInput, 0.0, 0.0, NaN, 10.0, 9.0, 10.0, 
com.alibaba.dubbo.common.serialize.fastjson.FastJsonObjectInputTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.serialize.fastjson.FastJsonObjectOutput, 0.0, 0.0, NaN, 11.0, 10.0, 9.090909090909093, 
com.alibaba.dubbo.common.serialize.fastjson.FastJsonObjectOutputTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.serialize.fastjson.FastJsonSerialization, 0.0, 0.0, NaN, 4.0, 0.0, 100.0, 
com.alibaba.dubbo.common.serialize.fastjson.FastJsonSerializationTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.serialize.fastjson.model.Image, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.serialize.fastjson.model.Person, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.serialize.fst.FstFactory, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.serialize.fst.FstFactoryTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.serialize.fst.FstObjectInput, 0.0, 0.0, NaN, 10.0, 10.0, 0.0, 
com.alibaba.dubbo.common.serialize.fst.FstObjectInputTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.serialize.fst.FstObjectOutput, 0.0, 0.0, NaN, 11.0, 10.0, 9.090909090909093, 
com.alibaba.dubbo.common.serialize.fst.FstObjectOutputTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.serialize.fst.FstSerialization, 0.0, 0.0, NaN, 4.0, 4.0, 0.0, 
com.alibaba.dubbo.common.serialize.fst.FstSerializationTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.serialize.fst.model.FullAddress, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.serialize.hessian2.Hessian2ObjectInput, 0.0, 0.0, NaN, 10.0, 9.0, 10.0, 
com.alibaba.dubbo.common.serialize.hessian2.Hessian2ObjectOutput, 0.0, 0.0, NaN, 11.0, 11.0, 0.0, 
com.alibaba.dubbo.common.serialize.hessian2.Hessian2Serialization, 0.0, 0.0, NaN, 4.0, 4.0, 0.0, 
